2026-01-29 17:59:36 | POST /chat | user=anonymous | query= body=b'{"query":"hii"}'
2026-01-29 17:59:39 | POST /chat | user=anonymous | query= body=b'{"query":"sql"}'
2026-01-29 17:59:42 | POST /chat | user=anonymous | query= body=b'{"query":"api"}'
2026-01-29 17:59:49 | POST /chat | user=anonymous | query= body=b'{"query":"file"}'
2026-01-29 18:56:16 | POST /chat | user=anonymous | query= body=b'{"query":"Show me all users\\n"}'
2026-01-29 18:56:55 | POST /chat | user=anonymous | query= body=b'{"query":"show me user with name user21\\n"}'
2026-01-29 18:57:27 | POST /chat | user=anonymous | query= body=b'{"query":"file\\n"}'
2026-01-29 19:07:13 | POST /chat | user=anonymous | query= body=b'{"query":"hii\\n"}'
2026-01-29 19:07:23 | POST /chat | user=anonymous | query= body=b'{"query":"Show me all users\\n"}'
2026-01-29 19:09:58 | POST /chat | user=anonymous | query= body=b'{"query":"Show me all users\\n"}'
2026-01-29 19:10:42 | POST /chat | user=anonymous | query= body=b'{"query":"show me user with name user21\\n"}'
2026-01-29 19:17:50 | POST /chat | user=anonymous | query= body=b'{"query":"show me user with name user21\xe2\x80\x9d\\n"}'
2026-01-29 19:17:58 | POST /chat | user=anonymous | query= body=b'{"query":"show me user with name user56\\n"}'
